Lat,Lng,Altitude(f,Accuracy,Date2
34.152679999999997,-118.459699999999998,"692","10",2019-09-10 15:59:59-07:00
34.151859999999999,-118.454700000000003,"675","10",2019-09-10 16:01:18-07:00
34.150919999999999,-118.448999999999998,"665","10",2019-09-10 16:03:06-07:00
34.150420000000004,-118.446100000000001,"656","10",2019-09-10 16:04:26-07:00
34.149039999999999,-118.437700000000007,"662","10",2019-09-10 16:05:45-07:00
34.148060000000001,-118.431799999999996,"642","10",2019-09-10 16:07:02-07:00
34.147230000000000,-118.426800000000000,"639","10",2019-09-10 16:08:54-07:00
34.146200000000000,-118.420400000000001,"629","10",2019-09-10 16:10:13-07:00
34.145170000000000,-118.414500000000004,"639","10",2019-09-10 16:11:34-07:00
34.144840000000002,-118.412599999999998,"633","10",2019-09-10 16:12:53-07:00
34.142910000000001,-118.406800000000004,"619","10",2019-09-10 16:14:11-07:00
34.142930000000000,-118.401499999999999,"613","10",2019-09-10 16:15:32-07:00
34.143390000000004,-118.397300000000001,"626","10",2019-09-10 16:17:00-07:00
34.143459999999997,-118.395200000000003,"610","10",2019-09-10 16:18:25-07:00
34.141669999999998,-118.388700000000000,"616","10",2019-09-10 16:19:44-07:00
34.140079999999998,-118.378000000000000,"600","10",2019-09-10 16:21:02-07:00
34.140659999999997,-118.370900000000006,"583","10",2019-09-10 16:22:20-07:00
34.137440000000005,-118.363600000000005,"590","10",2019-09-10 16:23:39-07:00
34.132309999999997,-118.353099999999998,"669","10",2019-09-10 16:24:58-07:00
34.135559999999998,-118.350999999999999,"754","10",2019-09-10 16:26:17-07:00
34.134200000000000,-118.349999999999994,"787","10",2019-09-10 16:27:36-07:00
34.137270000000001,-118.350300000000004,"767","10",2019-09-10 16:29:48-07:00
34.136309999999995,-118.350999999999999,"770","50",2019-09-10 16:31:37-07:00
34.136629999999997,-118.352500000000006,"800","10",2019-09-10 16:33:44-07:00
34.137190000000004,-118.355699999999999,"800","10",2019-09-10 19:20:51-07:00
34.136650000000003,-118.355900000000005,"780","10",2019-09-10 19:23:00-07:00
34.136379999999996,-118.355099999999993,"803","10",2019-09-10 19:25:14-07:00
34.136340000000004,-118.354699999999994,"813","10",2019-09-10 19:25:49-07:00
34.136309999999995,-118.353300000000004,"816","10",2019-09-10 19:27:55-07:00
34.136699999999998,-118.351799999999997,"803","10",2019-09-10 19:30:19-07:00
34.136740000000003,-118.350700000000003,"777","10",2019-09-10 19:32:30-07:00
34.137340000000002,-118.350200000000001,"803","10",2019-09-10 19:33:39-07:00
34.137120000000003,-118.349999999999994,"770","50",2019-09-10 19:35:49-07:00
34.135779999999997,-118.350999999999999,"774","10",2019-09-10 19:37:09-07:00
34.132820000000002,-118.355500000000006,"665","10",2019-09-10 19:38:28-07:00
34.136530000000000,-118.362600000000000,"613","10",2019-09-10 19:39:45-07:00
34.139240000000001,-118.367000000000004,"580","5",2019-09-10 19:41:03-07:00
34.141080000000002,-118.371700000000004,"577","10",2019-09-10 19:42:21-07:00
34.139850000000003,-118.379300000000001,"590","10",2019-09-10 19:43:39-07:00
34.142620000000001,-118.390600000000006,"610","5",2019-09-10 19:44:57-07:00
34.143659999999997,-118.394800000000004,"619","10",2019-09-10 19:46:50-07:00
34.142890000000001,-118.403599999999997,"619","10",2019-09-10 19:48:08-07:00
34.144610000000000,-118.409300000000002,"613","10",2019-09-10 19:49:27-07:00
34.145550000000000,-118.415899999999993,"633","10",2019-09-10 19:50:45-07:00
34.147379999999998,-118.427099999999996,"642","10",2019-09-10 19:52:04-07:00
34.149020000000000,-118.437100000000001,"652","10",2019-09-10 19:53:22-07:00
34.150520000000000,-118.445800000000006,"669","10",2019-09-10 19:54:40-07:00
34.151100000000000,-118.449500000000000,"669","10",2019-09-10 19:55:59-07:00
34.152120000000004,-118.456199999999995,"692","10",2019-09-10 19:57:17-07:00
34.153790000000001,-118.465900000000005,"711","10",2019-09-10 19:58:44-07:00
34.155520000000003,-118.477099999999993,"718","10",2019-09-10 20:00:20-07:00
34.156620000000004,-118.485900000000001,"744","10",2019-09-10 20:01:39-07:00
34.157540000000004,-118.492000000000004,"744","10",2019-09-10 20:03:04-07:00
34.159240000000004,-118.500900000000001,"767","10",2019-09-10 20:04:28-07:00
34.161180000000002,-118.511899999999997,"813","10",2019-09-10 20:05:46-07:00
